city,date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Mumbai,2023-06-25,76,0.14,43,18,115,36,19,31,42
Mumbai,2023-06-26,202,5.18,16,79,39,53,29,101,18
Mumbai,2023-06-27,10,3.27,14,66,76,25,116,113,27
Mumbai,2023-06-28,10,0.11,58,9,50,4,52,133,15
Mumbai,2023-06-29,94,2.16,13,87,13,22,33,80,28
Mumbai,2023-06-30,89,2.06,57,39,65,7,25,12,16
Mumbai,2023-07-01,132,1.01,25,37,67,29,7,36,3
Mumbai,2023-07-02,77,2.3,83,68,49,65,44,250,17
Mumbai,2023-07-03,66,1.85,10,63,35,21,50,28,19
Mumbai,2023-07-04,85,1.46,7,58,79,47,12,220,8
Mumbai,2023-07-05,198,7.1,3,40,65,17,12,39,19
Mumbai,2023-07-06,202,1.69,10,23,13,14,33,117,20
Mumbai,2023-07-07,163,2.77,28,5,64,3,68,56,9
Mumbai,2023-07-08,37,1.83,18,36,163,16,41,53,18
Mumbai,2023-07-09,99,1.55,28,21,78,7,49,95,2
Mumbai,2023-07-10,37,5.19,4,90,30,43,25,23,8
Mumbai,2023-07-11,97,4.19,47,38,91,16,32,28,7
Mumbai,2023-07-12,126,4.45,10,28,84,3,81,23,36
Mumbai,2023-07-13,41,4.08,48,23,163,15,11,-200,10
Mumbai,2023-07-14,116,0.83,66,65,10,6,40,73,4
Mumbai,2023-07-15,43,3.66,69,20,76,40,18,51,24
Mumbai,2023-07-16,15,2.57,21,85,59,23,64,33,5
Mumbai,2023-07-17,100,14.85,17,22,17,26,27,21,29
Mumbai,2023-07-18,71,1.29,39,106,90,49,64,43,7
Mumbai,2023-07-19,72,1.03,21,86,30,5,38,56,7
Mumbai,2023-07-20,69,1.59,75,51,34,9,122,171,27
Mumbai,2023-07-21,76,0.92,12,17,36,11,31,50,5
Mumbai,2023-07-22,45,7.85,20,32,116,21,38,67,31
Mumbai,2023-07-23,254,0.44,16,127,11,13,12,85,27
Mumbai,2023-07-24,30,3.65,56,45,79,41,52,13,10
Mumbai,2023-07-25,28,6.95,3,12,33,59,30,68,8
Mumbai,2023-07-26,74,3.59,27,27,65,10,8,10,25
Mumbai,2023-07-27,10,0.25,21,12,66,17,31,56,14
Mumbai,2023-07-28,24,0.66,17,16,23,18,57,93,16
Mumbai,2023-07-29,64,0.86,25,56,23,16,19,27,12
Mumbai,2023-07-30,64,0.24,31,24,37,4,52,88,6
Mumbai,2023-07-31,49,1.99,28,22,50,41,14,91,5
Mumbai,2023-08-01,52,1.67,28,50,102,50,23,49,16
Mumbai,2023-08-02,77,2.67,19,20,63,40,6,41,3
Mumbai,2023-08-03,100,1.81,13,73,36,24,14,54,14
Mumbai,2023-08-04,94,1.47,14,69,51,39,7,54,11
Mumbai,2023-08-05,148,1.12,37,31,60,11,39,207,8
Mumbai,2023-08-06,82,1.6,12,14,74,5,39,85,9
Mumbai,2023-08-07,127,0.67,53,23,12,22,27,54,18
Mumbai,2023-08-08,22,0.96,16,92,46,23,31,69,27
Mumbai,2023-08-09,10,1.1,40,30,75,11,20,16,12
Mumbai,2023-08-10,29,0.57,21,36,22,3,5,20,1
Mumbai,2023-08-11,81,0.71,102,10,180,17,35,11,14
Mumbai,2023-08-12,56,2.14,64,5,26,7,36,10,33
Mumbai,2023-08-13,87,2.33,27,11,68,25,64,36,2
Mumbai,2023-08-14,50,2.81,45,20,137,27,89,32,17
Mumbai,2023-08-15,39,1.7,42,45,66,11,31,49,9
Mumbai,2023-08-16,82,1.63,30,46,28,27,47,70,23
Mumbai,2023-08-17,68,0.3,8,52,24,3,18,52,31
Mumbai,2023-08-18,181,5.37,30,57,64,19,22,19,46
Mumbai,2023-08-19,55,1.17,18,28,24,22,18,36,7
Mumbai,2023-08-20,62,1.51,8,8,110,28,71,126,5
Mumbai,2023-08-21,124,0.86,47,23,49,27,42,42,14
Mumbai,2023-08-22,90,0.55,17,46,21,39,55,83,16
Mumbai,2023-08-23,82,0.84,46,11,19,23,27,29,26
Mumbai,2023-08-24,78,0.43,29,66,34,53,11,97,8
Mumbai,2023-08-25,106,0.94,13,8,73,11,7,90,14
Mumbai,2023-08-26,60,0.8,30,27,30,26,32,24,12
Mumbai,2023-08-27,101,0.65,9,68,43,16,31,133,12
Mumbai,2023-08-28,60,1.31,20,57,59,15,106,67,5
Mumbai,2023-08-29,10,3.02,35,24,10,14,45,39,11
Mumbai,2023-08-30,10,1.12,35,6,23,18,14,28,14
Mumbai,2023-08-31,82,1.51,23,5,10,28,20,194,14
Mumbai,2023-09-01,140,2.63,19,20,59,32,23,70,2
Mumbai,2023-09-02,41,1.95,30,22,45,20,41,84,22
Mumbai,2023-09-03,34,1.44,19,25,35,11,26,26,21
Mumbai,2023-09-04,85,0.34,13,30,117,6,13,82,32
Mumbai,2023-09-05,81,1.55,23,10,25,9,18,24,3
Mumbai,2023-09-06,93,0.35,29,9,37,11,78,102,34
Mumbai,2023-09-07,54,1.03,4,11,25,12,79,78,15
Mumbai,2023-09-08,113,1.36,32,50,28,3,5,10,18
Mumbai,2023-09-09,42,1.36,17,8,77,14,31,55,16
Mumbai,2023-09-10,110,1.47,35,12,17,73,50,172,9
Mumbai,2023-09-11,122,0.46,30,36,37,25,38,37,7
Mumbai,2023-09-12,64,2.14,21,21,17,15,35,53,4
Mumbai,2023-09-13,126,0.22,74,45,65,17,33,10,10
Mumbai,2023-09-14,66,1.64,72,23,104,14,18,10,14
Mumbai,2023-09-15,43,0.53,5,45,47,20,26,24,4
Mumbai,2023-09-16,119,0.16,35,56,32,7,12,46,6
Mumbai,2023-09-17,10,1.85,32,56,23,3,29,38,8
Mumbai,2023-09-18,83,0.16,23,38,37,7,12,43,21
Mumbai,2023-09-19,71,3.7,12,32,41,7,87,77,10
Mumbai,2023-09-20,131,1.69,27,34,88,25,36,31,11
Mumbai,2023-09-21,63,0.69,12,117,64,12,33,38,5
Mumbai,2023-09-22,10,0.83,29,29,77,9,55,100,22
Mumbai,2023-09-23,95,2.38,20,61,68,15,6,35,22
Mumbai,2023-09-24,78,3.89,15,30,39,7,17,167,1
Mumbai,2023-09-25,69,2.99,42,29,22,11,84,69,17
Mumbai,2023-09-26,65,3.53,25,12,121,24,26,49,16
Mumbai,2023-09-27,36,2.13,17,12,59,4,12,78,13
Mumbai,2023-09-28,126,3.12,17,26,93,31,47,23,6
Mumbai,2023-09-29,66,2.76,20,16,27,14,53,106,18
Mumbai,2023-09-30,22,0.19,48,46,67,8,68,38,6
Mumbai,2023-10-01,94,0.93,21,45,27,5,19,14,18
Mumbai,2023-10-02,10,0.43,46,10,71,21,5,50,3
Mumbai,2023-10-03,75,1.64,12,5,51,13,26,10,1
Mumbai,2023-10-04,59,0.41,42,47,50,34,16,63,2
Mumbai,2023-10-05,145,0.42,11,40,106,10,35,49,8
Mumbai,2023-10-06,47,1.21,7,25,19,7,40,47,23
Mumbai,2023-10-07,54,0.58,8,44,58,17,13,44,4
Mumbai,2023-10-08,44,1.85,48,19,67,18,75,54,13
Mumbai,2023-10-09,17,1.39,12,23,133,8,9,11,2
Mumbai,2023-10-10,142,0.1,24,12,87,45,11,29,25
Mumbai,2023-10-11,92,1.41,18,63,10,5,13,20,1
Mumbai,2023-10-12,55,0.78,32,52,61,30,35,27,1
Mumbai,2023-10-13,10,3.08,23,13,37,4,61,32,9
Mumbai,2023-10-14,62,2.01,47,10,31,14,12,65,23
Mumbai,2023-10-15,10,2.32,35,5,17,8,16,98,7
Mumbai,2023-10-16,52,3.35,6,35,29,20,7,129,19
Mumbai,2023-10-17,191,1.72,22,56,110,18,22,28,8
Mumbai,2023-10-18,74,1.01,17,46,91,4,8,29,1
Mumbai,2023-10-19,125,0.41,45,24,32,18,13,32,6
Mumbai,2023-10-20,70,2.21,22,25,71,13,24,10,18
Mumbai,2023-10-21,74,2.6,37,13,13,11,5,129,9
Mumbai,2023-10-22,10,0.37,14,25,93,14,6,56,11
Mumbai,2023-10-23,62,1.01,16,54,36,13,57,76,15
Mumbai,2023-10-24,45,2.93,16,26,10,9,26,65,17
Mumbai,2023-10-25,12,0.3,16,14,10,12,17,43,17
Mumbai,2023-10-26,82,1.62,72,32,91,5,33,24,9
Mumbai,2023-10-27,99,0.4,17,59,20,5,30,53,8
Mumbai,2023-10-28,92,0.52,2,12,49,12,15,48,22
Mumbai,2023-10-29,82,0.82,37,39,83,9,53,10,3
Mumbai,2023-10-30,91,3.76,7,22,82,5,48,32,4
Mumbai,2023-10-31,70,0.81,47,9,10,22,16,147,14
Mumbai,2023-11-01,104,2.07,26,9,17,7,37,43,1
Mumbai,2023-11-02,94,0.44,83,11,15,8,23,17,26
Mumbai,2023-11-03,128,1.65,23,27,10,5,5,26,8
Mumbai,2023-11-04,91,0.47,24,14,57,62,43,28,13
Mumbai,2023-11-05,34,0.24,7,88,44,29,21,15,3
Mumbai,2023-11-06,39,3.15,29,7,37,21,9,187,21
Mumbai,2023-11-07,66,0.19,11,36,44,15,33,18,19
Mumbai,2023-11-08,23,0.34,2,44,48,14,-200,30,4
Mumbai,2023-11-09,80,3.55,2,5,15,16,24,107,9
Mumbai,2023-11-10,100,2.85,23,5,13,6,13,32,24
Mumbai,2023-11-11,64,5.63,12,54,67,1,24,100,9
Mumbai,2023-11-12,33,1.34,38,9,40,12,5,89,15
Mumbai,2023-11-13,123,0.4,20,12,10,27,10,192,37
Mumbai,2023-11-14,73,1.6,17,15,21,56,18,61,17
Mumbai,2023-11-15,108,1.85,28,28,17,21,32,29,15
Mumbai,2023-11-16,67,0.68,27,48,40,25,28,87,8
Mumbai,2023-11-17,34,0.1,26,87,68,43,17,42,4
Mumbai,2023-11-18,26,1.56,59,73,57,10,44,104,37
Mumbai,2023-11-19,18,2.74,17,21,32,21,5,29,8
Mumbai,2023-11-20,77,1.52,26,25,135,13,39,74,5
Mumbai,2023-11-21,42,1.61,37,75,119,7,55,45,29
Mumbai,2023-11-22,89,0.31,35,84,112,17,5,25,48
Mumbai,2023-11-23,100,3.04,10,19,84,54,29,113,24
Mumbai,2023-11-24,91,2.06,40,40,97,28,6,41,5
Mumbai,2023-11-25,83,6.88,19,19,13,1,69,115,4
Mumbai,2023-11-26,91,0.33,4,16,31,9,44,10,6
Mumbai,2023-11-27,113,0.55,3,17,82,59,70,37,47
Mumbai,2023-11-28,115,0.25,7,-200,72,14,9,41,27
Mumbai,2023-11-29,52,1.49,13,27,38,11,45,82,12
Mumbai,2023-11-30,50,0.44,15,84,148,4,10,31,34
Mumbai,2023-12-01,64,0.77,38,28,26,13,9,83,7
Mumbai,2023-12-02,54,1.15,11,95,28,19,5,10,4
Mumbai,2023-12-03,123,2.07,27,102,94,8,25,126,10
Mumbai,2023-12-04,110,3.51,6,43,40,8,26,63,26
Mumbai,2023-12-05,150,4.98,45,79,17,6,45,14,11
Mumbai,2023-12-06,116,0.19,66,44,16,17,33,27,2
Mumbai,2023-12-07,118,2.92,21,55,51,14,22,48,20
Mumbai,2023-12-08,10,0.17,37,47,76,46,17,12,15
Mumbai,2023-12-09,88,0.71,19,48,25,14,45,39,15
Mumbai,2023-12-10,70,0.1,10,61,72,28,28,97,26
Mumbai,2023-12-11,10,5.67,65,31,50,6,85,41,4
Mumbai,2023-12-12,145,3.31,23,120,45,9,57,44,22
Mumbai,2023-12-13,56,0.68,38,25,76,16,36,43,13
Mumbai,2023-12-14,119,2.93,10,44,180,40,28,58,9
Mumbai,2023-12-15,112,0.22,8,26,24,12,38,10,11
Mumbai,2023-12-16,65,3.85,53,16,54,16,67,102,43
Mumbai,2023-12-17,136,1.44,34,65,37,20,37,25,29
Mumbai,2023-12-18,151,1.93,24,34,26,6,54,20,5
Mumbai,2023-12-19,117,1.64,31,61,24,59,15,36,8
Mumbai,2023-12-20,171,2.09,20,15,180,52,76,152,6
Mumbai,2023-12-21,167,1.57,23,48,46,47,5,21,40
Mumbai,2023-12-22,62,1.92,69,21,38,63,59,65,22
Mumbai,2023-12-23,141,0.99,31,59,180,7,39,38,7
Mumbai,2023-12-24,99,0.37,13,16,44,29,49,54,4
Mumbai,2023-12-25,30,3.72,38,23,57,20,5,158,4
Mumbai,2023-12-26,82,3.46,9,22,31,13,29,182,7
Mumbai,2023-12-27,122,0.93,66,56,125,28,50,134,20
Mumbai,2023-12-28,151,0.12,37,87,143,14,23,151,34
Mumbai,2023-12-29,14,1.48,35,132,18,6,20,42,3
Mumbai,2023-12-30,44,4.74,5,46,57,51,44,91,26
Mumbai,2023-12-31,51,1.7,11,13,35,13,38,104,24
Kolkata,2022-01-01,77,0.38,18,27,37,5,49,218,17
Kolkata,2022-01-02,108,0.37,45,16,31,13,13,190,29
Kolkata,2022-01-03,149,0.1,25,48,38,18,41,58,18
Kolkata,2022-01-04,25,1.73,12,31,44,17,59,79,23
Kolkata,2022-01-05,76,1.78,14,38,90,62,25,187,6
Kolkata,2022-01-06,29,0.96,26,19,30,42,71,80,20
Kolkata,2022-01-07,69,3.72,29,34,17,70,31,27,4
Kolkata,2022-01-08,133,4.41,100,150,51,17,43,70,2
Kolkata,2022-01-09,85,0.81,42,65,86,23,15,61,42
Kolkata,2022-01-10,130,2.85,27,150,61,20,66,24,14
Kolkata,2022-01-11,102,2.29,7,52,82,14,69,143,41
Kolkata,2022-01-12,54,1.67,38,71,64,45,49,26,37
Kolkata,2022-01-13,117,0.44,99,18,63,63,50,121,39
Kolkata,2022-01-14,115,0.91,17,88,53,3,100,216,11
Kolkata,2022-01-15,113,0.1,115,129,91,60,36,20,42
Kolkata,2022-01-16,112,2.75,8,30,49,21,23,29,3
Kolkata,2022-01-17,20,0.1,34,58,24,60,30,65,16
Kolkata,2022-01-18,13,1.48,71,72,154,59,59,114,7
Kolkata,2022-01-19,92,1.08,31,31,146,27,22,167,22
Kolkata,2022-01-20,169,3.5,13,59,29,28,66,24,18
Kolkata,2022-01-21,53,1.99,72,50,30,15,30,185,18
Kolkata,2022-01-22,163,2.77,35,18,37,30,7,104,10
Kolkata,2022-01-23,125,1.4,23,79,62,38,8,62,10
Kolkata,2022-01-24,144,2.08,72,94,162,49,37,32,4
Kolkata,2022-01-25,61,6.97,6,14,73,4,58,46,20
Kolkata,2022-01-26,124,1.36,98,54,19,11,47,60,22
Kolkata,2022-01-27,141,0.18,17,67,91,27,143,16,50
Kolkata,2022-01-28,99,5.18,20,69,39,47,33,154,8
Kolkata,2022-01-29,137,3.35,19,64,16,7,33,160,4
Kolkata,2022-01-30,198,2.25,48,101,64,28,37,57,33
Kolkata,2022-01-31,60,2.31,38,11,19,23,26,64,9
Kolkata,2022-02-01,156,0.43,12,150,147,35,12,64,29
Kolkata,2022-02-02,180,1.97,74,85,10,10,78,47,25
Kolkata,2022-02-03,231,0.11,22,104,82,100,59,48,20
Kolkata,2022-02-04,60,11.38,62,37,64,55,16,150,5
Kolkata,2022-02-05,116,0.78,54,88,25,81,65,133,29
Kolkata,2022-02-06,62,0.64,21,120,154,3,75,69,28
Kolkata,2022-02-07,135,1.44,44,25,128,16,41,38,20
Kolkata,2022-02-08,50,8.42,25,102,25,41,14,46,12
Kolkata,2022-02-09,179,7.68,94,40,21,17,-200,51,18
Kolkata,2022-02-10,75,4.0,13,8,117,29,71,107,19
Kolkata,2022-02-11,117,0.65,122,34,67,18,20,250,30
Kolkata,2022-02-12,86,5.38,19,84,137,10,41,80,21
Kolkata,2022-02-13,140,6.22,31,48,63,9,145,132,42
Kolkata,2022-02-14,143,1.79,162,5,69,12,53,211,33
Kolkata,2022-02-15,124,2.84,113,99,97,38,86,49,11
Kolkata,2022-02-16,67,1.1,25,145,58,73,29,171,50
Kolkata,2022-02-17,138,3.13,34,28,131,22,36,105,33
Kolkata,2022-02-18,77,5.14,52,130,28,53,95,169,35
Kolkata,2022-02-19,169,2.72,78,70,47,18,45,138,20
Kolkata,2022-02-20,116,15.0,84,62,21,11,18,79,9
Kolkata,2022-02-21,117,1.09,27,13,28,76,37,59,15
Kolkata,2022-02-22,146,5.07,41,150,147,86,82,126,8
Kolkata,2022-02-23,11,8.59,12,14,60,51,29,39,38
Kolkata,2022-02-24,77,0.13,111,23,128,33,5,43,42
Kolkata,2022-02-25,40,3.25,30,15,61,36,53,95,23
Kolkata,2022-02-26,116,-200.0,71,14,180,30,14,197,18
Kolkata,2022-02-27,97,6.34,12,32,124,12,90,61,9
Kolkata,2022-02-28,94,3.61,57,64,180,21,92,73,11
Kolkata,2022-03-01,56,7.97,32,54,162,77,139,45,10
Kolkata,2022-03-02,91,4.27,36,11,29,61,60,52,4
Kolkata,2022-03-03,147,0.14,42,23,111,18,55,231,34
Kolkata,2022-03-04,48,3.48,64,31,97,51,55,27,2
Kolkata,2022-03-05,206,2.52,107,30,10,7,34,154,2
Kolkata,2022-03-06,215,8.98,89,127,27,54,50,31,24
Kolkata,2022-03-07,131,0.67,11,84,66,20,35,104,14
Kolkata,2022-03-08,10,4.32,15,53,44,20,20,35,31
Kolkata,2022-03-09,140,0.21,19,39,116,9,91,71,15
Kolkata,2022-03-10,45,3.15,190,73,10,31,106,99,37
Kolkata,2022-03-11,94,0.1,22,42,70,17,42,30,4
Kolkata,2022-03-12,78,3.09,129,125,80,6,44,89,13
Kolkata,2022-03-13,218,0.26,14,79,23,10,45,10,24
Kolkata,2022-03-14,99,7.37,35,29,160,50,71,33,34
Kolkata,2022-03-15,151,0.4,175,13,55,15,62,17,36
Kolkata,2022-03-16,29,0.98,52,39,31,9,27,61,21
Kolkata,2022-03-17,137,2.98,34,38,180,43,29,73,10
Kolkata,2022-03-18,108,7.13,11,56,180,29,52,68,7
Kolkata,2022-03-19,246,7.92,47,79,48,40,147,192,1
Kolkata,2022-03-20,212,2.04,17,24,27,35,52,125,21
Kolkata,2022-03-21,66,1.4,66,41,113,32,51,250,3
Kolkata,2022-03-22,15,8.32,22,91,42,21,8,133,4
Kolkata,2022-03-23,104,3.49,3,103,11,18,27,119,23
Kolkata,2022-03-24,257,5.64,10,122,176,86,48,24,29
Kolkata,2022-03-25,25,1.83,85,48,84,86,53,24,19
Kolkata,2022-03-26,89,0.23,48,38,35,25,14,70,30
Kolkata,2022-03-27,233,0.86,24,150,86,20,39,78,14
Kolkata,2022-03-28,83,2.33,47,7,30,45,5,106,22
Kolkata,2022-03-29,87,4.02,28,50,91,34,105,98,50
Kolkata,2022-03-30,10,2.76,87,40,75,41,18,66,49
Kolkata,2022-03-31,233,3.29,23,79,46,5,125,30,50
Kolkata,2022-04-01,42,6.16,85,110,46,33,34,37,30
Kolkata,2022-04-02,188,2.88,21,140,81,26,48,206,16
Kolkata,2022-04-03,113,5.47,101,142,135,8,150,91,20
Kolkata,2022-04-04,199,6.17,53,38,180,25,53,233,41
Kolkata,2022-04-05,174,0.44,27,74,97,38,47,43,45
Kolkata,2022-04-06,98,10.59,42,5,127,12,70,26,19
Kolkata,2022-04-07,114,2.63,18,66,17,46,87,40,50
Kolkata,2022-04-08,122,1.16,16,9,163,15,37,57,44
Kolkata,2022-04-09,168,2.79,45,15,180,41,75,26,8
Kolkata,2022-04-10,139,1.37,45,24,22,17,38,23,33
Kolkata,2022-04-11,176,3.26,58,16,42,47,57,205,49
Kolkata,2022-04-12,131,1.86,25,92,124,54,56,45,31
Kolkata,2022-04-13,167,1.1,68,36,96,6,87,92,13
Kolkata,2022-04-14,221,2.35,30,61,44,28,72,57,19
Kolkata,2022-04-15,185,3.64,6,99,141,11,9,25,10
Kolkata,2022-04-16,56,4.99,63,50,86,53,82,229,48
Kolkata,2022-04-17,10,4.24,34,77,180,20,-200,250,35
Kolkata,2022-04-18,68,2.66,8,27,60,88,99,60,9
Kolkata,2022-04-19,70,3.18,157,21,122,47,40,29,31
Kolkata,2022-04-20,248,1.84,13,58,113,80,7,125,50
Kolkata,2022-04-21,187,4.71,24,60,135,57,87,97,20
Kolkata,2022-04-22,208,0.1,58,62,38,14,47,130,33
Kolkata,2022-04-23,165,0.36,44,112,159,10,31,250,20
Kolkata,2022-04-24,126,3.35,21,114,180,14,107,37,42
Kolkata,2022-04-25,74,4.3,5,150,48,7,58,131,48
Kolkata,2022-04-26,120,1.38,34,39,75,47,65,56,23
Kolkata,2022-04-27,54,1.91,36,43,153,32,44,82,19
Kolkata,2022-04-28,65,10.76,69,5,47,14,35,137,19
Kolkata,2022-04-29,132,0.68,65,83,98,28,105,43,19
Kolkata,2022-04-30,105,1.14,31,25,125,42,43,113,42
Kolkata,2022-05-01,234,6.81,12,50,157,100,63,147,1
Kolkata,2022-05-02,156,0.3,35,91,180,27,48,52,1
Kolkata,2022-05-03,100,0.46,11,17,92,9,53,250,16
Kolkata,2022-05-04,50,2.04,122,24,47,55,19,53,8
Kolkata,2022-05-05,196,0.1,14,80,63,16,44,58,11
Kolkata,2022-05-06,15,2.5,15,63,53,39,52,10,29
Kolkata,2022-05-07,52,4.41,40,11,132,46,40,134,8
Kolkata,2022-05-08,88,2.19,77,5,57,34,32,185,50
Kolkata,2022-05-09,155,5.47,13,90,180,27,42,35,26
Kolkata,2022-05-10,120,1.43,2,86,19,100,52,66,22
Kolkata,2022-05-11,128,3.4,28,10,155,27,97,18,10
Kolkata,2022-05-12,96,6.15,13,85,53,32,27,167,37
Kolkata,2022-05-13,167,0.84,43,123,117,24,29,63,29
Kolkata,2022-05-14,30,0.82,19,122,129,21,150,134,22
Kolkata,2022-05-15,189,0.33,23,27,59,26,25,200,15
Kolkata,2022-05-16,17,1.36,43,44,120,16,76,96,43
Kolkata,2022-05-17,132,1.74,19,66,25,2,25,170,50
Kolkata,2022-05-18,29,0.94,75,150,24,66,14,71,27
Kolkata,2022-05-19,62,0.5,95,51,116,11,150,113,29
Kolkata,2022-05-20,147,1.75,55,86,48,7,14,81,50
Kolkata,2022-05-21,116,1.39,87,48,175,36,58,162,28
Kolkata,2022-05-22,165,1.95,40,67,21,62,115,60,19
Kolkata,2022-05-23,241,1.65,30,89,76,6,66,183,17
Kolkata,2022-05-24,51,4.75,71,12,17,87,98,83,30
Kolkata,2022-05-25,67,0.47,45,19,23,49,32,47,27
Kolkata,2022-05-26,84,5.94,32,150,17,70,150,22,6
Kolkata,2022-05-27,159,1.59,41,26,154,19,56,130,29
Kolkata,2022-05-28,123,0.51,67,11,134,20,73,75,12
Kolkata,2022-05-29,115,0.21,47,71,80,14,18,34,16
Kolkata,2022-05-30,160,7.66,63,-200,64,6,33,48,10
Kolkata,2022-05-31,128,7.21,118,53,139,47,30,133,50
Kolkata,2022-06-01,49,5.44,71,48,36,33,62,250,11
Kolkata,2022-06-02,124,4.9,39,29,28,18,42,32,39
Kolkata,2022-06-03,151,2.84,12,35,69,42,42,121,25
Kolkata,2022-06-04,166,3.66,19,75,59,53,23,97,21
Kolkata,2022-06-05,109,2.85,27,39,180,21,126,65,22
Kolkata,2022-06-06,118,0.1,109,89,42,6,31,180,7
Kolkata,2022-06-07,38,6.1,21,20,30,3,51,98,16
Kolkata,2022-06-08,36,0.71,21,64,88,4,45,40,19
Kolkata,2022-06-09,40,0.36,7,41,55,11,117,38,10
Kolkata,2022-06-10,116,0.85,33,25,80,32,44,84,18
Kolkata,2022-06-11,109,4.58,10,51,111,27,33,129,22
Kolkata,2022-06-12,72,5.02,64,31,22,11,26,20,44
Kolkata,2022-06-13,19,2.13,52,57,68,31,36,104,17
Kolkata,2022-06-14,90,5.11,11,58,74,22,71,150,12
Kolkata,2022-06-15,144,0.18,10,47,50,40,28,154,15
Kolkata,2022-06-16,42,0.37,7,75,16,32,66,36,22
Kolkata,2022-06-17,196,0.48,30,10,34,68,70,24,38
Kolkata,2022-06-18,174,0.1,24,14,113,73,22,112,10
Kolkata,2022-06-19,69,9.83,41,22,54,51,10,121,20
Kolkata,2022-06-20,132,0.1,36,111,74,16,46,48,10
Kolkata,2022-06-21,167,1.73,24,8,77,17,112,104,48
Kolkata,2022-06-22,151,0.84,71,59,102,11,70,20,17
Kolkata,2022-06-23,77,2.2,40,31,17,6,13,83,22
Kolkata,2022-06-24,84,0.36,46,39,74,22,71,33,2
Kolkata,2022-06-25,99,1.99,36,17,25,33,61,57,3
Kolkata,2022-06-26,134,5.27,35,28,105,1,38,97,5
Kolkata,2022-06-27,34,0.16,96,66,134,40,49,209,20
Kolkata,2022-06-28,98,6.21,59,84,75,13,71,41,17
Kolkata,2022-06-29,59,3.57,16,38,69,67,22,68,15
Kolkata,2022-06-30,123,8.41,25,66,23,21,49,131,27
Kolkata,2022-07-01,101,1.54,15,144,29,7,23,17,21
Kolkata,2022-07-02,100,4.69,26,38,33,3,70,43,4
Kolkata,2022-07-03,17,6.4,73,31,38,28,24,16,9
Kolkata,2022-07-04,111,0.1,18,20,20,27,43,88,13
Kolkata,2022-07-05,77,1.15,15,31,10,25,26,125,15
Kolkata,2022-07-06,10,1.12,34,143,66,34,80,28,14
Kolkata,2022-07-07,58,0.1,47,20,42,33,56,67,35
Kolkata,2022-07-08,132,1.41,18,11,22,34,47,134,22
Kolkata,2022-07-09,133,6.64,36,23,28,9,21,135,24
Kolkata,2022-07-10,87,0.28,39,52,119,15,41,100,9
Kolkata,2022-07-11,164,0.1,48,17,153,43,53,10,10
Kolkata,2022-07-12,102,2.12,34,41,17,16,31,10,23
Kolkata,2022-07-13,169,8.46,27,58,22,24,45,120,36
Kolkata,2022-07-14,121,1.41,17,22,112,7,23,82,41
Kolkata,2022-07-15,170,1.43,2,48,47,10,5,56,5
Kolkata,2022-07-16,114,2.06,30,6,41,5,41,91,11
Kolkata,2022-07-17,149,5.81,35,39,49,16,28,20,39
Kolkata,2022-07-18,83,1.35,80,59,43,21,54,109,15
Kolkata,2022-07-19,131,2.62,44,60,85,12,80,74,28
Kolkata,2022-07-20,92,1.08,33,24,19,16,55,37,3
Kolkata,2022-07-21,142,0.5,10,47,141,100,31,120,19
Kolkata,2022-07-22,51,5.33,24,26,97,54,25,13,17
Kolkata,2022-07-23,54,0.81,11,22,26,25,53,70,7
Kolkata,2022-07-24,54,1.98,27,29,48,24,32,83,17
Kolkata,2022-07-25,117,3.17,10,7,22,36,39,35,8
Kolkata,2022-07-26,119,5.74,33,12,15,27,20,14,3
Kolkata,2022-07-27,107,3.37,17,62,48,13,33,174,6
Kolkata,2022-07-28,139,2.07,41,24,69,21,31,43,27
Kolkata,2022-07-29,90,9.25,13,36,12,11,48,23,50
Kolkata,2022-07-30,10,2.75,21,57,12,29,49,44,7
Kolkata,2022-07-31,89,4.94,40,19,42,5,57,153,10
Kolkata,2022-08-01,59,0.38,53,71,73,6,5,48,19
Kolkata,2022-08-02,68,3.66,52,21,10,12,40,22,16
Kolkata,2022-08-03,80,1.62,74,63,180,6,71,10,27
Kolkata,2022-08-04,17,1.55,42,42,57,2,48,11,39
Kolkata,2022-08-05,57,2.47,19,77,46,18,44,23,8
Kolkata,2022-08-06,89,1.04,76,58,76,40,61,85,12
Kolkata,2022-08-07,10,4.91,11,16,90,25,5,53,1
Kolkata,2022-08-08,77,2.23,51,51,33,19,18,16,7
Kolkata,2022-08-09,120,0.35,58,66,76,6,25,45,9
Kolkata,2022-08-10,42,4.94,30,39,34,44,21,48,3
Kolkata,2022-08-11,111,0.24,56,8,59,13,52,62,16
Kolkata,2022-08-12,90,5.07,77,11,10,28,12,88,21
Kolkata,2022-08-13,51,0.14,120,84,40,19,64,17,19
Kolkata,2022-08-14,78,1.82,64,6,52,5,43,53,15
Kolkata,2022-08-15,115,1.63,38,19,10,3,18,58,13
Kolkata,2022-08-16,90,0.17,54,21,71,18,69,61,37
Kolkata,2022-08-17,107,2.96,50,20,94,47,44,41,27
Kolkata,2022-08-18,110,4.82,85,48,39,18,15,40,2
Kolkata,2022-08-19,75,0.1,51,120,31,25,28,37,5
Kolkata,2022-08-20,139,0.4,5,45,12,10,76,19,16
